EmpID,Name,Department,Position,Gender,Age,Salary,JoinDate,Performance,YearsExp,City,Attendance%
EMP0001,Employee 1,HR,Director,Female,27,2674.16,2023-10-26,Average,7,Mandalay,86.5
EMP0002,Employee 2,Marketing,Director,Female,57,1995.75,2018-09-18,Excellent,3,Mawlamyine,73.8
EMP0003,Employee 3,Finance,Director,Male,24,4551.13,2017-09-11,Average,12,Yangon,75.4
EMP0004,Employee 4,Sales,Director,Female,54,3702.69,2021-01-21,Poor,15,Yangon,71.9
EMP0005,Employee 5,Finance,Junior,Male,32,1204.81,2022-04-22,Excellent,20,Yangon,68.4
EMP0006,Employee 6,Operations,Manager,Male,35,3935.84,2022-01-22,Poor,20,Yangon,89.9
EMP0007,Employee 7,Operations,Lead,Male,27,411.64,2016-09-21,Excellent,1,Mandalay,91.8
EMP0008,Employee 8,Marketing,Lead,Female,46,631.08,2021-04-04,Poor,20,Taunggyi,77.3
EMP0009,Employee 9,Sales,Director,Male,26,2130.66,2015-03-11,Excellent,22,Yangon,74.3
EMP0010,Employee 10,Operations,Lead,Male,40,798.84,2020-08-21,Poor,12,Taunggyi,92.9
EMP0011,Employee 11,Finance,Senior,Male,47,2527.74,2015-05-07,Average,20,Mandalay,71.9
EMP0012,Employee 12,Operations,VP,Female,22,4596.59,2024-12-12,Good,3,Yangon,60.2
EMP0013,Employee 13,Finance,Junior,Female,35,2152.18,2021-09-09,Average,6,Taunggyi,96.2
EMP0014,Employee 14,Marketing,Senior,Male,38,2709.0,2024-07-19,Good,3,Mandalay,86.8
EMP0015,Employee 15,Finance,Manager,Male,40,4305.58,2021-05-12,Excellent,8,Yangon,67.9
EMP0016,Employee 16,IT,Lead,Male,37,2589.79,2021-07-06,Excellent,9,Bago,62.8
EMP0017,Employee 17,HR,Lead,Female,59,1793.59,2017-03-03,Good,18,Bago,74.6
EMP0018,Employee 18,Marketing,Junior,Female,37,4805.7,2018-07-19,Good,22,Mawlamyine,85.6
EMP0019,Employee 19,Marketing,VP,Female,52,4248.52,2018-02-07,Poor,14,Naypyidaw,91.0
EMP0020,Employee 20,Marketing,VP,Male,39,2892.86,2020-06-17,Good,17,Mandalay,70.5
