inventory_id,make,model,year,vin,purchase_date,purchase_price,asking_price,status,days_in_lot
1,Chevrolet,Silverado,2022,VIN00000001,2024-06-23,59770.5,68301.55,In Transit,151
2,Audi,Q5,2022,VIN00000002,2025-01-26,54969.57,61839.64,Sold,33
3,Volkswagen,Jetta,2019,VIN00000003,2024-10-18,69285.0,81648.47,Available,164
4,Chevrolet,Tahoe,2019,VIN00000004,2024-11-15,36092.88,40258.66,Sold,73
5,Tesla,Model 3,2021,VIN00000005,2025-02-14,31437.11,36956.65,Pending,163
6,Nissan,Rogue,2024,VIN00000006,2024-09-23,37414.78,42703.52,In Transit,8
7,Kia,Sportage,2024,VIN00000007,2025-06-27,57453.77,61027.72,Available,114
8,Tesla,Model Y,2020,VIN00000008,2025-01-29,29907.2,35230.08,Available,87
9,Toyota,Camry,2019,VIN00000009,2024-07-23,16131.7,17570.13,Sold,68
10,Audi,A4,2019,VIN00000010,2025-03-25,21981.13,24625.2,Sold,45
11,Hyundai,Tucson,2024,VIN00000011,2024-09-02,48328.7,54199.45,Sold,115
12,Ford,Explorer,2024,VIN00000012,2025-05-13,15031.44,16883.4,Sold,166
13,Chevrolet,Tahoe,2021,VIN00000013,2025-01-01,61373.58,65726.26,Pending,121
14,Mercedes,C-Class,2021,VIN00000014,2025-01-26,30601.59,37781.34,Sold,104
15,Mazda,CX-5,2021,VIN00000015,2024-10-01,62991.76,69538.64,Sold,113
16,Audi,Q5,2020,VIN00000016,2024-12-13,55175.83,66565.31,Sold,7
17,Toyota,Corolla,2023,VIN00000017,2024-11-02,27961.65,29379.46,In Transit,75
18,Toyota,Corolla,2024,VIN00000018,2024-11-20,38541.35,43366.66,Available,41
19,Tesla,Model Y,2023,VIN00000019,2024-11-09,62815.36,67298.54,In Transit,72
20,Mercedes,C-Class,2022,VIN00000020,2024-11-09,14731.75,16679.87,Sold,60
